time;ECU ID;Asc ECU ID;Tag;Message ID;Message Size;Stream ID;UID;Message;Data
2.384;ECU0;SecMod;MonitorTags.CP_ECU_START_CREATE_REQ_MESSAGE;5;100;23;7c217bf7-d703-4d82-83ee-28a373f3d6d0;['ECU0', 23, 0.02551164737751721, 2.384];[]
2.385119875;ECU0;SecMod;MonitorTags.CP_ECU_ENCRYPTED_REQ_MESSAGE;5;112;23;7c217bf7d7034d8283ee28a373f3d6d0;['ECU0', <components.security.encryption.encryption_tools.EncryptedMessage object at 0x0000000005481668>];[]
3.1020000000000003;ECU0;SecMod;MonitorTags.CP_ECU_START_CREATE_REQ_MESSAGE;5;100;20;cecdb593-b368-40b3-aea4-d72ba2b794ac;['ECU0', 20, 0.6813380163907109, 3.1020000000000003];[]
3.1031198750000004;ECU0;SecMod;MonitorTags.CP_ECU_ENCRYPTED_REQ_MESSAGE;5;112;20;cecdb593b36840b3aea4d72ba2b794ac;['ECU0', <components.security.encryption.encryption_tools.EncryptedMessage object at 0x0000000005481D68>];[]
3.1502170924117627;SecMod;ECU1;MonitorTags.CP_SEC_ECNRYPTED_CONFIRMATION_MESSAGE;3;112;-1;ce80c20a92f84df4933dd051fe53c313;<components.security.encryption.encryption_tools.EncryptedMessage object at 0x0000000005488048>;[]
3.150554642411763;ECU1;SecMod;MonitorTags.CP_ECU_RECEIVE_CONF_MESSAGE;3;112;-1;060f8adbf8a944bb886819c2329c84d8;<components.security.encryption.encryption_tools.EncryptedMessage object at 0x0000000005488048>;[]
3.1502170924117627;SecMod;ECU0;MonitorTags.CP_SEC_RECEIVE_REQ_MESSAGE;5;112;-1;39bcfc8d16c247d4b5a888ee624e5515;<components.security.encryption.encryption_tools.EncryptedMessage object at 0x000000000547CD30>;[]
3.151362467411763;SecMod;ECU0;MonitorTags.CP_SEC_DECRYPTED_REQ_MESSAGE;5;100;21;39bcfc8d16c247d4b5a888ee624e5515;['ECU0', 21, 0.3407711736584089, 2.153];[]
3.152942530411763;SecMod;ECU0;MonitorTags.CP_SEC_GENERATED_SESSION_KEY;6;-1;21;2d127377b3754679bca7bce66ed07e8a;-1;[]
3.151700017411763;ECU1;SecMod;MonitorTags.CP_ECU_DECRYPTED_CONF_MESSAGE;3;100;-1;060f8adbf8a944bb886819c2329c84d8;<components.base.message.abst_bus_message.SegData object at 0x0000000005488080>;[]
3.154062405411763;SecMod;ECU1;MonitorTags.CP_SEC_ENCRYPTED_GRANT_MESSAGE;6;100;21;8508b65bf43b4b6e94851181ea5e498b;['ECU1', 21, <components.security.encryption.encryption_tools.SymmetricKey object at 0x0000000005481128>, 0.3407711736584089, 3.152942530411763, 'ECU0'];[]
3.155182280411763;SecMod;ECU0;MonitorTags.CP_SEC_ENCRYPTED_GRANT_MESSAGE;6;100;21;197b0a25ae6646c6aade195045d77682;['ECU0', 21, <components.security.encryption.encryption_tools.SymmetricKey object at 0x0000000005481128>, 0.3407711736584089, 3.154062405411763, 'ECU0'];[]
3.154399955411763;ECU1;None;MonitorTags.CP_ECU_RECEIVE_GRANT_MESSAGE;7;112;21;2975c71fb4654271a7a11bd7e5cc0ea5;<components.security.encryption.encryption_tools.EncryptedMessage object at 0x0000000005464358>;[]
3.1555453304117633;ECU1;None;MonitorTags.CP_ECU_DECRYPTED_GRANT_MESSAGE;6;100;21;2975c71fb4654271a7a11bd7e5cc0ea5;<components.base.message.abst_bus_message.SegData object at 0x00000000054880B8>;[]
3.155182280411763;SecMod;ECU0;MonitorTags.CP_SEC_RECEIVE_REQ_MESSAGE;5;112;-1;09e5fb7fb3e54ff88b94d892b167d81e;<components.security.encryption.encryption_tools.EncryptedMessage object at 0x0000000005481940>;[]
3.156327655411763;SecMod;ECU0;MonitorTags.CP_SEC_DECRYPTED_REQ_MESSAGE;5;100;24;09e5fb7fb3e54ff88b94d892b167d81e;['ECU0', 24, 0.9601047077543876, 2.222];[]
3.157907718411763;SecMod;ECU0;MonitorTags.CP_SEC_GENERATED_SESSION_KEY;6;-1;24;cde172ff846a42d5837a00289f1cfdd1;-1;[]
3.1555453304117633;ECU0;None;MonitorTags.CP_ECU_RECEIVE_GRANT_MESSAGE;7;112;21;44f4f6e12ced47b2b24d68daf2a6f1a9;<components.security.encryption.encryption_tools.EncryptedMessage object at 0x000000000547C7B8>;[]
3.1566907054117634;ECU0;None;MonitorTags.CP_ECU_DECRYPTED_GRANT_MESSAGE;6;100;21;44f4f6e12ced47b2b24d68daf2a6f1a9;<components.base.message.abst_bus_message.SegData object at 0x000000000547C828>;[]
3.1566907054117634;ECU0;Unknown;MonitorTags.CP_ECU_INTENT_SEND_SIMPLE_MESSAGE;21;8;21;998138ed83fe4c89836d61a4ca1d5b42;xxxxxxxx;[]
3.1568532679117633;ECU0;Unknown;MonitorTags.CP_ECU_ENCRYPTED_SEND_SIMPLE_MESSAGE;21;32;21;998138ed83fe4c89836d61a4ca1d5b42;xxxxxxxx;[]
3.156982042911763;ECU1;ECU0;MonitorTags.CP_ECU_RECEIVE_SIMPLE_MESSAGE;21;32;21;60c475605e4f407996eb350d1162462d;<components.base.message.abst_bus_message.SegData object at 0x0000000005488048>;[]
3.1573103554117634;ECU1;ECU0;MonitorTags.CP_ECU_DECRYPTED_SIMPLE_MESSAGE;21;32;21;60c475605e4f407996eb350d1162462d;xxxxxxxx;[]
3.1590275934117633;SecMod;ECU1;MonitorTags.CP_SEC_ENCRYPTED_GRANT_MESSAGE;6;100;24;6947da7ce3e34511a3eb8fdec37932c4;['ECU1', 24, <components.security.encryption.encryption_tools.SymmetricKey object at 0x00000000054810F0>, 0.9601047077543876, 3.157907718411763, 'ECU0'];[]
3.1601474684117634;SecMod;ECU0;MonitorTags.CP_SEC_ENCRYPTED_GRANT_MESSAGE;6;100;24;f2d255673ae346cb8cb559312a3faf88;['ECU0', 24, <components.security.encryption.encryption_tools.SymmetricKey object at 0x00000000054810F0>, 0.9601047077543876, 3.1590275934117633, 'ECU0'];[]
